,Year/Month,Diseases,Case number,Disease_cn,Disease_en
81,2016-10-01,艾滋病 AIDS,4244,艾滋病,AIDS
82,2016-11-01,艾滋病 AIDS,5743,艾滋病,AIDS
83,2016-12-01,艾滋病 AIDS,6335,艾滋病,AIDS
84,2017-01-01,艾滋病 AIDS,2503,艾滋病,AIDS
85,2017-02-01,艾滋病 AIDS,3325,艾滋病,AIDS
86,2017-03-01,艾滋病 AIDS,5179,艾滋病,AIDS
87,2017-04-01,艾滋病 AIDS,4140,艾滋病,AIDS
88,2017-05-01,艾滋病 AIDS,5025,艾滋病,AIDS
89,2017-06-01,艾滋病 AIDS,5916,艾滋病,AIDS
90,2017-07-01,艾滋病 AIDS,4950,艾滋病,AIDS
91,2017-08-01,艾滋病 AIDS,5400,艾滋病,AIDS
92,2017-09-01,艾滋病 AIDS,5283,艾滋病,AIDS
93,2017-10-01,艾滋病 AIDS,4485,艾滋病,AIDS
94,2017-11-01,艾滋病 AIDS,6136,艾滋病,AIDS
95,2017-12-01,艾滋病 AIDS,6622,艾滋病,AIDS
96,2018-01-01,艾滋病 AIDS,3309,艾滋病,AIDS
97,2018-02-01,艾滋病 AIDS,2559,艾滋病,AIDS
98,2018-03-01,艾滋病 AIDS,5331,艾滋病,AIDS
99,2018-04-01,艾滋病 AIDS,4642,艾滋病,AIDS
100,2018-05-01,艾滋病 AIDS,5593,艾滋病,AIDS
101,2018-06-01,艾滋病 AIDS,5809,艾滋病,AIDS
102,2018-07-01,艾滋病 AIDS,5289,艾滋病,AIDS
103,2018-08-01,艾滋病 AIDS,5750,艾滋病,AIDS
104,2018-09-01,艾滋病 AIDS,6155,艾滋病,AIDS
105,2018-10-01,艾滋病 AIDS,5823,艾滋病,AIDS
106,2018-11-01,艾滋病 AIDS,7622,艾滋病,AIDS
107,2018-12-01,艾滋病 AIDS,7897,艾滋病,AIDS
108,2019-01-01,艾滋病 AIDS,3688,艾滋病,AIDS
109,2019-02-01,艾滋病 AIDS,3587,艾滋病,AIDS
110,2019-03-01,艾滋病 AIDS,6086,艾滋病,AIDS
111,2019-04-01,艾滋病 AIDS,6277,艾滋病,AIDS
112,2019-05-01,艾滋病 AIDS,6291,艾滋病,AIDS
113,2019-06-01,艾滋病 AIDS,6642,艾滋病,AIDS
114,2019-07-01,艾滋病 AIDS,6912,艾滋病,AIDS
115,2019-08-01,艾滋病 AIDS,6404,艾滋病,AIDS
116,2019-09-01,艾滋病 AIDS,6435,艾滋病,AIDS
117,2019-10-01,艾滋病 AIDS,6207,艾滋病,AIDS
118,2019-11-01,艾滋病 AIDS,7366,艾滋病,AIDS
119,2019-12-01,艾滋病 AIDS,6735,艾滋病,AIDS
120,2020-01-31,艾滋病 AIDS,2759,艾滋病,AIDS
121,2020-02-29,艾滋病 AIDS,2133,艾滋病,AIDS
122,2020-03-31,艾滋病 AIDS,4808,艾滋病,AIDS
123,2020-04-01,艾滋病 AIDS,5960,艾滋病,AIDS
124,2020-05-01,艾滋病 AIDS,5484,艾滋病,AIDS
125,2020-06-01,艾滋病 AIDS,6915,艾滋病,AIDS
126,2020-07-01,艾滋病 AIDS,6124,艾滋病,AIDS
127,2020-08-01,艾滋病 AIDS,5166,艾滋病,AIDS
128,2020-09-01,艾滋病 AIDS,6927,艾滋病,AIDS
129,2020-10-01,艾滋病 AIDS,4546,艾滋病,AIDS
130,2020-11-01,艾滋病 AIDS,5824,艾滋病,AIDS
131,2020-12-01,艾滋病 AIDS,6508,艾滋病,AIDS
132,2021-01-31,艾滋病 AIDS,3260,艾滋病,AIDS
133,2021-02-28,艾滋病 AIDS,3051,艾滋病,AIDS
134,2021-03-31,艾滋病 AIDS,5951,艾滋病,AIDS
135,2021-04-30,艾滋病 AIDS,5283,艾滋病,AIDS
136,2021-05-31,艾滋病 AIDS,5047,艾滋病,AIDS
137,2021-06-30,艾滋病 AIDS,5978,艾滋病,AIDS
138,2021-07-31,艾滋病 AIDS,3373,艾滋病,AIDS
139,2021-08-31,艾滋病 AIDS,4710,艾滋病,AIDS
140,2021-09-30,艾滋病 AIDS,5039,艾滋病,AIDS
141,2021-10-31,艾滋病 AIDS,5357,艾滋病,AIDS
142,2021-11-30,艾滋病 AIDS,6493,艾滋病,AIDS
143,2021-12-31,艾滋病 AIDS,7490,艾滋病,AIDS
144,2022-01-31,艾滋病 AIDS,3109,艾滋病,AIDS
145,2022-02-28,艾滋病 AIDS,3364,艾滋病,AIDS
146,2022-03-31,艾滋病 AIDS,5020,艾滋病,AIDS
147,2022-04-30,艾滋病 AIDS,3837,艾滋病,AIDS
148,2022-05-31,艾滋病 AIDS,4490,艾滋病,AIDS
149,2022-06-30,艾滋病 AIDS,5626,艾滋病,AIDS
150,2022-07-31,艾滋病 AIDS,4667,艾滋病,AIDS
151,2022-08-31,艾滋病 AIDS,4679,艾滋病,AIDS
152,2022-09-30,艾滋病 AIDS,4389,艾滋病,AIDS
153,2022-10-31,艾滋病 AIDS,3965,艾滋病,AIDS
154,2022-11-30,艾滋病 AIDS,4299,艾滋病,AIDS
155,2022-12-31,艾滋病 AIDS,5264,艾滋病,AIDS
156,2023-01-31,艾滋病 AIDS,1815,艾滋病,AIDS
157,2023-02-28,艾滋病 AIDS,4516,艾滋病,AIDS
158,2023-03-31,艾滋病 AIDS,5785,艾滋病,AIDS
159,2023-04-30,艾滋病 AIDS,4937,艾滋病,AIDS
160,2023-05-31,艾滋病 AIDS,5455,艾滋病,AIDS
161,2023-06-30,艾滋病 AIDS,5759,艾滋病,AIDS
162,2023-07-31,艾滋病 AIDS,4854,艾滋病,AIDS
163,2023-08-31,艾滋病 AIDS,5122,艾滋病,AIDS
164,2023-09-30,艾滋病 AIDS,5121,艾滋病,AIDS
165,2023-10-31,艾滋病 AIDS,5210,艾滋病,AIDS
166,2023-11-30,艾滋病 AIDS,5664,艾滋病,AIDS
167,2023-12-31,艾滋病 AIDS,5295,艾滋病,AIDS
168,2024-01-31,艾滋病 AIDS,3194,艾滋病,AIDS
169,2024-02-29,艾滋病 AIDS,3344,艾滋病,AIDS
170,2024-03-31,艾滋病 AIDS,5422,艾滋病,AIDS
171,2024-04-30,艾滋病 AIDS,5357,艾滋病,AIDS
172,2024-05-31,艾滋病 AIDS,4987,艾滋病,AIDS
173,2024-06-30,艾滋病 AIDS,5201,艾滋病,AIDS
174,2024-07-31,艾滋病 AIDS,4832,艾滋病,AIDS
175,2024-08-31,艾滋病 AIDS,4485,艾滋病,AIDS
176,2024-09-30,艾滋病 AIDS,4450,艾滋病,AIDS
177,2024-10-31,艾滋病 AIDS,4403,艾滋病,AIDS
178,2024-11-30,艾滋病 AIDS,4760,艾滋病,AIDS
179,2024-12-31,艾滋病 AIDS,4909,艾滋病,AIDS
180,2025-01-01,艾滋病 AIDS,2832,艾滋病,AIDS
181,2025-02-01,艾滋病 AIDS,3931,艾滋病,AIDS
182,2025-03-01,艾滋病 AIDS,4852,艾滋病,AIDS
183,2025-04-01,艾滋病 AIDS,4534,艾滋病,AIDS
184,2025-05-01,艾滋病 AIDS,4240,艾滋病,AIDS
185,2025-06-01,艾滋病 AIDS,4783,艾滋病,AIDS
186,2025-07-01,艾滋病 AIDS,4234,艾滋病,AIDS
187,2025-08-01,艾滋病 AIDS,3754,艾滋病,AIDS
188,2025-09-01,艾滋病 AIDS,4571,艾滋病,AIDS
189,2025-10-01,艾滋病 AIDS,3749,艾滋病,AIDS
190,2025-11-01,艾滋病 AIDS,3816,艾滋病,AIDS
191,2025-12-01,艾滋病 AIDS,4560,艾滋病,AIDS
192,2026-01-01,艾滋病 AIDS,2805,艾滋病,AIDS
193,2026-02-01,艾滋病 AIDS,2668,艾滋病,AIDS
194,2026-03-01,艾滋病 AIDS,4821,艾滋病,AIDS
195,2010-01-31,白喉 Diphtheria,0,白喉,Diphtheria
196,2010-02-28,白喉 Diphtheria,0,白喉,Diphtheria
197,2010-03-31,白喉 Diphtheria,0,白喉,Diphtheria
198,2010-04-30,白喉 Diphtheria,0,白喉,Diphtheria
199,2010-05-01,白喉 Diphtheria,0,白喉,Diphtheria
200,2010-06-01,白喉 Diphtheria,0,白喉,Diphtheria
201,2010-07-01,白喉 Diphtheria,0,白喉,Diphtheria
202,2010-08-01,白喉 Diphtheria,0,白喉,Diphtheria
203,2010-09-01,白喉 Diphtheria,0,白喉,Diphtheria
204,2010-10-01,白喉 Diphtheria,0,白喉,Diphtheria
205,2010-11-01,白喉 Diphtheria,0,白喉,Diphtheria
206,2010-12-01,白喉 Diphtheria,0,白喉,Diphtheria
207,2011-01-31,白喉 Diphtheria,0,白喉,Diphtheria
208,2011-02-01,白喉 Diphtheria,0,白喉,Diphtheria
209,2011-03-02,白喉 Diphtheria,0,白喉,Diphtheria
210,2011-04-03,白喉 Diphtheria,0,白喉,Diphtheria
211,2011-05-04,白喉 Diphtheria,0,白喉,Diphtheria
212,2011-06-05,白喉 Diphtheria,1,白喉,Diphtheria
213,2011-07-31,白喉 Diphtheria,0,白喉,Diphtheria
214,2011-08-31,白喉 Diphtheria,0,白喉,Diphtheria
215,2011-09-30,白喉 Diphtheria,0,白喉,Diphtheria
216,2011-10-31,白喉 Diphtheria,1,白喉,Diphtheria
217,2011-11-30,白喉 Diphtheria,0,白喉,Diphtheria
218,2011-12-31,白喉 Diphtheria,0,白喉,Diphtheria
219,2012-01-31,白喉 Diphtheria,0,白喉,Diphtheria
220,2012-02-29,白喉 Diphtheria,0,白喉,Diphtheria
221,2012-03-31,白喉 Diphtheria,0,白喉,Diphtheria
222,2012-04-30,白喉 Diphtheria,0,白喉,Diphtheria
223,2012-05-31,白喉 Diphtheria,0,白喉,Diphtheria
224,2012-06-30,白喉 Diphtheria,0,白喉,Diphtheria
225,2012-07-31,白喉 Diphtheria,0,白喉,Diphtheria
226,2012-08-31,白喉 Diphtheria,0,白喉,Diphtheria
227,2012-09-30,白喉 Diphtheria,0,白喉,Diphtheria
228,2012-10-31,白喉 Diphtheria,0,白喉,Diphtheria
229,2012-11-30,白喉 Diphtheria,0,白喉,Diphtheria
230,2012-12-31,白喉 Diphtheria,0,白喉,Diphtheria
231,2013-01-01,白喉 Diphtheria,0,白喉,Diphtheria
232,2013-02-01,白喉 Diphtheria,0,白喉,Diphtheria
233,2013-03-03,白喉 Diphtheria,0,白喉,Diphtheria
234,2013-04-02,白喉 Diphtheria,0,白喉,Diphtheria
235,2013-05-03,白喉 Diphtheria,0,白喉,Diphtheria
236,2013-06-03,白喉 Diphtheria,0,白喉,Diphtheria
237,2013-07-04,白喉 Diphtheria,0,白喉,Diphtheria
238,2013-08-04,白喉 Diphtheria,0,白喉,Diphtheria
239,2013-09-04,白喉 Diphtheria,0,白喉,Diphtheria
240,2013-10-05,白喉 Diphtheria,0,白喉,Diphtheria
241,2013-11-30,白喉 Diphtheria,0,白喉,Diphtheria
242,2013-12-31,白喉 Diphtheria,0,白喉,Diphtheria
243,2014-01-30,白喉 Diphtheria,0,白喉,Diphtheria
244,2014-02-27,白喉 Diphtheria,0,白喉,Diphtheria
245,2014-03-30,白喉 Diphtheria,0,白喉,Diphtheria
246,2014-04-29,白喉 Diphtheria,0,白喉,Diphtheria
247,2014-05-30,白喉 Diphtheria,0,白喉,Diphtheria
248,2014-06-29,白喉 Diphtheria,0,白喉,Diphtheria
249,2014-07-30,白喉 Diphtheria,0,白喉,Diphtheria
250,2014-08-30,白喉 Diphtheria,0,白喉,Diphtheria
251,2014-09-29,白喉 Diphtheria,0,白喉,Diphtheria
252,2014-10-30,白喉 Diphtheria,0,白喉,Diphtheria
253,2014-11-30,白喉 Diphtheria,0,白喉,Diphtheria
254,2014-12-30,白喉 Diphtheria,0,白喉,Diphtheria
255,2015-01-01,白喉 Diphtheria,0,白喉,Diphtheria
256,2015-02-01,白喉 Diphtheria,0,白喉,Diphtheria
257,2015-03-01,白喉 Diphtheria,0,白喉,Diphtheria
258,2015-04-01,白喉 Diphtheria,0,白喉,Diphtheria
259,2015-05-01,白喉 Diphtheria,0,白喉,Diphtheria
260,2015-06-01,白喉 Diphtheria,0,白喉,Diphtheria
261,2015-07-01,白喉 Diphtheria,0,白喉,Diphtheria
262,2015-08-01,白喉 Diphtheria,0,白喉,Diphtheria
263,2015-09-01,白喉 Diphtheria,0,白喉,Diphtheria
264,2015-10-01,白喉 Diphtheria,0,白喉,Diphtheria
265,2015-11-01,白喉 Diphtheria,0,白喉,Diphtheria
266,2015-12-30,白喉 Diphtheria,0,白喉,Diphtheria
267,2016-01-01,白喉 Diphtheria,0,白喉,Diphtheria
268,2016-02-01,白喉 Diphtheria,0,白喉,Diphtheria
269,2016-03-01,白喉 Diphtheria,0,白喉,Diphtheria
270,2016-04-01,白喉 Diphtheria,0,白喉,Diphtheria
271,2016-05-01,白喉 Diphtheria,0,白喉,Diphtheria
272,2016-06-01,白喉 Diphtheria,0,白喉,Diphtheria
273,2016-07-01,白喉 Diphtheria,0,白喉,Diphtheria
274,2016-08-01,白喉 Diphtheria,0,白喉,Diphtheria
